ProductGroup,year,Quantityintonnes,Valueinthousandeuro,Value_per_tonne
Cheese,2016,164057.606,513137.936,3.127791197928367
Cheese,2017,163669.271,587034.543,3.5867120285517733
Cheese,2018,165248.521,594600.558,3.598220149879586
Cheese,2019,207515.052,716962.875,3.454992146786538
Cheese,2020,203241.88999999998,717506.996,3.530310587054667
Cheese,2021,163929.755,690141.2000000001,4.209981281311621
Cheese,2022,144203.611,704355.574,4.884451707662161
Cheese,2023,163320.017,744070.556,4.55590545278966
Condensed Milk,2010,1296.101,1355.698,1.0459817560514189
Condensed Milk,2011,1683.4279999999999,2303.667,1.3684380917984018
Condensed Milk,2012,1505.5430000000001,1558.1480000000001,1.0349408817948076
Condensed Milk,2013,1489.35,2047.74,1.3749219458152886
Condensed Milk,2014,1617.4799999999998,2171.28,1.3423844498850066
Condensed Milk,2015,1504.5439999999999,2030.407,1.3495165312546527
Condensed Milk,2016,1456.833,1700.467,1.1672353660302863
Condensed Milk,2017,883.105,1628.391,1.8439381500501073
Condensed Milk,2018,1675.8999999999999,2561.497,1.5284306939554866
Condensed Milk,2019,1615.555,2819.763,1.7453834750287052
Condensed Milk,2020,791.597,1218.613,1.5394361019559195
Condensed Milk,2021,304.998,1263.826,4.143718975206395
Condensed Milk,2022,363.115,1268.218,3.4926070253225565
Condensed Milk,2023,389.444,1281.2160000000001,3.2898593892831833
Cream,2010,2476.226,6541.694,2.6418000618683433
Cream,2011,2547.912,8989.441,3.5281599207507957
Cream,2012,2558.433,6677.351,2.6099378017716313
Cream,2013,3959.365,9484.028,2.3953406670008954
Cream,2014,5201.889999999999,11363.487000000001,2.184491982721665
Cream,2015,7611.873,13380.272,1.7578159803769717
Cream,2016,9246.16,17076.341,1.8468576144042501
Cream,2017,8691.277,29350.785,3.3770394154967103
Cream,2018,15860.432,65126.238,4.1062083302649
Cream,2019,14709.898,45773.269,3.111732589852085
Cream,2020,16356.842,47798.816,2.922252107099891
Cream,2021,26091.881,85811.808,3.2888318017393994
Cream,2022,31188.184,140053.455,4.490593456804025
Cream,2023,26844.363999999998,107880.436,4.018736893896984
Dairy spreads,2010,1395.77,4349.594,3.1162684396426346
Dairy spreads,2011,749.917,2874.888,3.8336082526466257
